clip_index,trick_index,trick,switch?,inline?,obstacle,slowmo,obstacle 2,location,hasbank,video
1,1,bs 360,,1,stair,,,,,baker3
1,2,nollie bs flip,1,1,stair,,,,,baker3
2,3,5050 kickflip,,,ledge ,,shootout,,,baker3
3,4,switch noseblunt,1,1,ledge ,,,,,baker3
3,5,nollie flip bs tail,1,1,ledge ,,,,,baker3
4,6,switch fs nosegrind 180,1,1,ledge ,,,,,baker3
4,7,ollie,,1,bank,,bump to bar,,1,baker3
5,8,bs lip,,,hubba,,,,,baker3
6,9,switch flip,1,,stair,,,,,baker3
7,10,varial heelflip,,,stair,,,,,baker3
8,11,bs 180,,,stair,,,,,baker3
9,12,bs nosegrind,,,ledge ,,shootout,,,baker3
10,13,bs smith,,,tranny,,pool,,,baker3
11,14,kickflip pivot,,,tranny,,pool,,,baker3
12,15,bs tail,,,ledge ,,car,bank to ledge,1,baker3
13,16,drop in,,,roof,,roof,,1,baker3
14,17,ollie,,,flat,,flat over bar,,1,baker3
15,18,beanplant to fakie,,,tranny,,ramp to wall,,,baker3
16,19,bs tail fakie,,,ledge ,,,,,baker3
16,20,switch bluntside,1,1,rail,,handrail,manmade,,baker3
17,21,switch crook,1,,rail,,handrail,,,baker3
18,22,bigflip,,,gap,,roof,gap to bank,1,baker3
19,23,switch flip noseslide,1,,hubba,,,,,baker3
20,24,bs noseblunt,,,rail,,handrail,manmade,,baker3
21,25,fs board,,,hubba,,,,,baker3
22,26,nollie bs flip360 ,1,,gap,,roof,,,baker3
23,27,switch noseblunt,1,,ledge ,,shootout,,,baker3
24,28,heelflip,,,gap,,roof,,,baker3
25,29,switch tre,1,,stair,,doubleset,,,baker3
26,30,bs 360 kickflip,,,gap,1,roof,,,baker3
27,31,5050,,,rail,1,bank to rail,,1,baker3
28,31,5050,,,rail,1,bank to rail,,1,baker3
29,32,bs 5-0,,,rail,1,gap to rail,doubleset,,baker3
30,33,taildrop kickflip,,,taildrop,,bank to rail,,1,baker3
31,34,switch fs flip manual,1,,manual,,manual to drop,,,baker3
32,35,ollie,,1,stair,,,,,baker3
32,36,fs 180 nosegrind,,1,hubba,,,,,baker3
33,36,fs 180 nosegrind,,1,hubba,,,,,baker3
34,37,bs lip shuv,,,rail,,manmade,,,baker3
35,38,switch fs flip nosegrind,1,,hubba,,,,,baker3
36,39,switch fs tail,1,,rail,,handrail,,,baker3
37,40,switch tre,1,,stair,,,,,baker3
38,40,switch tre,1,,stair,,,,,baker3
39,41,bs 360,,,stair,,,,,baker3
40,42,bs 5050,,,rail,,handrail,,,baker3
41,43,bs 360 lipslide,,,rail,,handrail,wilshire,,baker3
42,44,nollie bs flip,1,,stair,,hollywood high,,,baker3
43,45,switch flip,1,,stair,,over rail,,,baker3
44,46,ollie,,,gap,,into bank,,1,baker3
45,46,ollie,1,,gap,,into bank,,1,baker3
46,47,fs lipslide,,,rail,,shootout rail to flat,,,baker3
47,47,fs lipslide,,,rail,,shootout rail to flat,,,baker3
48,48,switch fs flip,1,,stair,,wilshire,,,baker3
49,48,switch fs flip,1,,stair,1,wilshire,,,baker3
50,48,switch fs flip,1,,stair,1,wilshire,,,baker3
1,1,switch crook,1,1,ledge ,,,,,baker 2g
