clip_index	trick_index	trick	switch	line	slowmo	obstacle	obstacle_detailed	location	video
1	1	switch fs flip	1	1		stair		emb	101 - WWII Report
1	2	fs noseslide to fs crook to fakie		1		ledge		emb	101 - WWII Report
1	3	bs noseslide 270		1		ledge		emb	101 - WWII Report
2	4	nollie varial to manual to shuv-it	1			manual			101 - WWII Report
3	5	bs noseslide 270				ledge			101 - WWII Report
4	6	bs nollie 360 kickflip	1			hip			101 - WWII Report
5	7	bs noseslide  		1		rail	"shootout, handrail"		101 - WWII Report
5	8	nollie fs flip	1	1		flat			101 - WWII Report
6	9	bs heelflip				curbcut			101 - WWII Report
7	10	nollie varial 	1	1		flat			101 - WWII Report
7	11	fs 180		1		stair			101 - WWII Report
7	12	switch bs 180	1	1		stair			101 - WWII Report
7	13	fs 5050		1		rail	shootout 		101 - WWII Report
8	14	bs boardslide 270				ledge			101 - WWII Report
9	15	bs flip to switch manual		1		manual			101 - WWII Report
9	16	switch bs 180		1		gap			101 - WWII Report
10	17	switch fs flip		1		curbcut			101 - WWII Report
11	18	bs noselide 270				rail	handrail		101 - WWII Report
12	19	bs noseslide bigspin				rail	handrail		101 - WWII Report
13	20	kickflip				gap		carlsbad	101 - WWII Report
14	21	switch fs bigspin	1			gap		carlsbad	101 - WWII Report
15	22	fs noseslide  				ledge			101 - WWII Report
16	23	switch fs 180 to nose manual to 360	1			manual			101 - WWII Report
17	24	nollie bs 360 lateflip	1			hip			101 - WWII Report
18	25	nollie fs 360 late flip	1			hip			101 - WWII Report
19	26	bs 360 heelflip				hip			101 - WWII Report
20	27	fs noseslide bigspin				ledge			101 - WWII Report
21	28	bs 180 late flip				bank	bank to ledge	schoolyard	101 - WWII Report
22	29	halfcab to crook to nosegrind to crook popover				ledge	curb		101 - WWII Report
23	30	bs flip  		1		flat			101 - WWII Report
23	31	switch fs 180  	1	1		flat			101 - WWII Report
23	32	nosemanual to nollie flip		1		manual			101 - WWII Report
24	33	shuv-it-it to nose manual to 360				manual			101 - WWII Report
1	1	backside flip		1		flat	curb		Union - Right to Skate
1	2	switch varial	1	1		flat	curb		Union - Right to Skate
2	3	fs 5-0 to switch crook				ledge	curb		Union - Right to Skate
3	4	fs 180		1		flat	curb		Union - Right to Skate
3	5	switch hardflip	1	1		flat	curb		Union - Right to Skate
4	6	switch bs noseslide 270	1			ledge	curb		Union - Right to Skate
5	7	halfcab to noseslide to nosegrind to regular		1		ledge	curb		Union - Right to Skate
5	8	nollie bs flip	1	1		flat			Union - Right to Skate
6	9	bs tailslide		1		ledge	curb		Union - Right to Skate
6	10	fs 180 nosegrind to noseslide to fakie		1		ledge	curb		Union - Right to Skate
6	11	switch bs 180	1	1		flat			Union - Right to Skate
7	12	nollie noseslide to fakie	1	1		ledge			Union - Right to Skate
7	13	switch fs tailslide	1	1		ledge			Union - Right to Skate
8	14	nollie bs 180 to fakie 5-0	1			ledge	curb		Union - Right to Skate
